shard,gold_dataset,gold_scan,atlas_bdmap_id,match_type,corr32
shard02,FLARE,FLARE22_Tr_0035_0000.nii.gz,BDMAP_00000618,shape+corr,1.0000
shard02,FLARE,FLARE22_Tr_0036_0000.nii.gz,BDMAP_00000676,shape+corr,1.0000
shard02,FLARE,FLARE22_Tr_0046_0000.nii.gz,BDMAP_00000993,shape+corr,1.0000
shard02,FLARE,FLARE22_Tr_0048_0000.nii.gz,BDMAP_00000696,shape+corr,1.0000
shard02,FLARE,FLARE22_Tr_0049_0000.nii.gz,BDMAP_00000558,shape+corr,1.0000
shard03,AMOS,amos_0001.nii.gz,BDMAP_00001036,shape+corr,1.0000
shard03,AMOS,amos_0019.nii.gz,BDMAP_00001260,exact,1.0000
shard03,AMOS,amos_0027.nii.gz,BDMAP_00001231,exact,1.0000
shard03,AMOS,amos_0049.nii.gz,BDMAP_00001253,shape+corr,1.0000
shard03,AMOS,amos_0069.nii.gz,BDMAP_00001196,exact,1.0000
shard03,AMOS,amos_0079.nii.gz,BDMAP_00001449,shape+corr,1.0000
shard03,AMOS,amos_0118.nii.gz,BDMAP_00001181,exact,1.0000
shard03,AMOS,amos_0141.nii.gz,BDMAP_00001400,exact,1.0000
shard03,AMOS,amos_0161.nii.gz,BDMAP_00001365,exact,1.0000
shard03,AMOS,amos_0198.nii.gz,BDMAP_00001217,exact,1.0000
shard03,AMOS,amos_0199.nii.gz,BDMAP_00001053,corr-only,0.9985
shard03,AMOS,amos_0282.nii.gz,BDMAP_00001100,shape+corr,1.0000
shard03,AMOS,amos_0294.nii.gz,BDMAP_00001285,shape+corr,1.0000
shard03,AMOS,amos_0317.nii.gz,BDMAP_00001070,shape+corr,1.0000
shard03,AMOS,amos_0336.nii.gz,BDMAP_00001151,shape+corr,1.0000
shard03,AMOS,amos_0392.nii.gz,BDMAP_00001442,shape+corr,1.0000
shard03,BTCV,img0025.nii.gz,BDMAP_00001417,exact,1.0000
shard03,BTCV,img0030.nii.gz,BDMAP_00001074,exact,1.0000
shard03,BTCV,img0036.nii.gz,BDMAP_00001447,exact,1.0000
shard03,FLARE,FLARE22_Tr_0034_0000.nii.gz,BDMAP_00001288,shape+corr,1.0000
shard03,FLARE,FLARE22_Tr_0037_0000.nii.gz,BDMAP_00001464,shape+corr,1.0000
shard03,FLARE,FLARE22_Tr_0047_0000.nii.gz,BDMAP_00001441,shape+corr,1.0000
shard04,AMOS,amos_0006.nii.gz,BDMAP_00001971,exact,1.0000
shard04,AMOS,amos_0009.nii.gz,BDMAP_00001627,exact,1.0000
shard04,AMOS,amos_0017.nii.gz,BDMAP_00001771,exact,1.0000
shard04,AMOS,amos_0021.nii.gz,BDMAP_00001931,exact,1.0000
shard04,AMOS,amos_0023.nii.gz,BDMAP_00001561,exact,1.0000
shard04,AMOS,amos_0036.nii.gz,BDMAP_00001556,exact,1.0000
shard04,AMOS,amos_0054.nii.gz,BDMAP_00001855,shape+corr,1.0000
shard04,AMOS,amos_0088.nii.gz,BDMAP_00001989,exact,1.0000
shard04,AMOS,amos_0089.nii.gz,BDMAP_00001655,exact,1.0000
shard04,AMOS,amos_0105.nii.gz,BDMAP_00001886,shape+corr,1.0000
shard04,AMOS,amos_0109.nii.gz,BDMAP_00001700,shape+corr,1.0000
shard04,AMOS,amos_0138.nii.gz,BDMAP_00001967,exact,1.0000
shard04,AMOS,amos_0153.nii.gz,BDMAP_00001640,exact,1.0000
shard04,AMOS,amos_0193.nii.gz,BDMAP_00001740,exact,1.0000
shard04,AMOS,amos_0235.nii.gz,BDMAP_00001901,shape+corr,1.0000
shard04,AMOS,amos_0249.nii.gz,BDMAP_00001775,shape+corr,1.0000
shard04,AMOS,amos_0272.nii.gz,BDMAP_00001759,shape+corr,1.0000
shard04,AMOS,amos_0374.nii.gz,BDMAP_00001764,shape+corr,1.0000
shard04,FLARE,FLARE22_Tr_0002_0000.nii.gz,BDMAP_00001584,shape+corr,1.0000
shard04,FLARE,FLARE22_Tr_0008_0000.nii.gz,BDMAP_00001628,shape+corr,1.0000
shard04,FLARE,FLARE22_Tr_0024_0000.nii.gz,BDMAP_00001618,shape+corr,1.0000
shard04,FLARE,FLARE22_Tr_0025_0000.nii.gz,BDMAP_00001649,shape+corr,1.0000
shard04,FLARE,FLARE22_Tr_0027_0000.nii.gz,BDMAP_00001597,shape+corr,1.0000
shard05,AMOS,amos_0016.nii.gz,BDMAP_00002162,exact,1.0000
shard05,AMOS,amos_0045.nii.gz,BDMAP_00002372,shape+corr,1.0000
shard05,AMOS,amos_0060.nii.gz,BDMAP_00002046,shape+corr,1.0000
shard05,AMOS,amos_0066.nii.gz,BDMAP_00002135,exact,1.0000
shard05,AMOS,amos_0071.nii.gz,BDMAP_00002014,exact,1.0000
shard05,AMOS,amos_0084.nii.gz,BDMAP_00002009,exact,1.0000
shard05,AMOS,amos_0086.nii.gz,BDMAP_00002217,exact,1.0000
shard05,AMOS,amos_0099.nii.gz,BDMAP_00002357,shape+corr,1.0000
shard05,AMOS,amos_0104.nii.gz,BDMAP_00002061,exact,1.0000
shard05,AMOS,amos_0129.nii.gz,BDMAP_00002467,exact,1.0000
shard05,AMOS,amos_0175.nii.gz,BDMAP_00002380,exact,1.0000
shard05,AMOS,amos_0177.nii.gz,BDMAP_00002207,exact,1.0000
shard05,AMOS,amos_0195.nii.gz,BDMAP_00002077,exact,1.0000
shard05,AMOS,amos_0224.nii.gz,BDMAP_00002234,shape+corr,1.0000
shard05,AMOS,amos_0225.nii.gz,BDMAP_00002194,shape+corr,1.0000
shard05,AMOS,amos_0264.nii.gz,BDMAP_00002023,shape+corr,1.0000
shard05,AMOS,amos_0281.nii.gz,BDMAP_00002365,shape+corr,1.0000
shard05,AMOS,amos_0337.nii.gz,BDMAP_00002448,shape+corr,1.0000
shard05,AMOS,amos_0383.nii.gz,BDMAP_00002110,shape+corr,1.0000
shard05,AMOS,amos_0400.nii.gz,BDMAP_00002098,shape+corr,1.0000
shard05,BTCV,img0001.nii.gz,BDMAP_00002109,exact,1.0000
shard05,BTCV,img0007.nii.gz,BDMAP_00002019,exact,1.0000
shard05,BTCV,img0008.nii.gz,BDMAP_00002367,exact,1.0000
shard05,FLARE,FLARE22_Tr_0016_0000.nii.gz,BDMAP_00002171,shape+corr,1.0000
shard05,FLARE,FLARE22_Tr_0018_0000.nii.gz,BDMAP_00002298,shape+corr,1.0000
shard05,FLARE,FLARE22_Tr_0026_0000.nii.gz,BDMAP_00002216,shape+corr,1.0000
shard05,FLARE,FLARE22_Tr_0028_0000.nii.gz,BDMAP_00002227,shape+corr,1.0000
