shard,gold_dataset,gold_scan,atlas_bdmap_id,match_type,corr32
shard07,AMOS,amos_0380.nii.gz,BDMAP_00003217,shape+corr,1.0000
shard07,AMOS,amos_0384.nii.gz,BDMAP_00003147,shape+corr,1.0000
shard07,AMOS,amos_0388.nii.gz,BDMAP_00003280,shape+corr,1.0000
shard07,AMOS,amos_0396.nii.gz,BDMAP_00003273,shape+corr,1.0000
shard07,BTCV,img0024.nii.gz,BDMAP_00003480,exact,1.0000
shard07,BTCV,img0029.nii.gz,BDMAP_00003222,exact,1.0000
shard07,BTCV,img0038.nii.gz,BDMAP_00003372,exact,1.0000
shard07,FLARE,FLARE22_Tr_0001_0000.nii.gz,BDMAP_00003319,shape+corr,1.0000
shard07,FLARE,FLARE22_Tr_0003_0000.nii.gz,BDMAP_00003114,shape+corr,1.0000
shard07,FLARE,FLARE22_Tr_0004_0000.nii.gz,BDMAP_00003367,shape+corr,1.0000
shard07,FLARE,FLARE22_Tr_0010_0000.nii.gz,BDMAP_00003277,shape+corr,1.0000
shard07,FLARE,FLARE22_Tr_0019_0000.nii.gz,BDMAP_00003329,shape+corr,1.0000
shard07,FLARE,FLARE22_Tr_0041_0000.nii.gz,BDMAP_00003385,shape+corr,1.0000
shard08,AMOS,amos_0030.nii.gz,BDMAP_00003775,exact,1.0000
shard08,AMOS,amos_0033.nii.gz,BDMAP_00003999,exact,1.0000
shard08,AMOS,amos_0043.nii.gz,BDMAP_00003818,exact,1.0000
shard08,AMOS,amos_0076.nii.gz,BDMAP_00003716,shape+corr,1.0000
shard08,AMOS,amos_0119.nii.gz,BDMAP_00003720,exact,1.0000
shard08,AMOS,amos_0124.nii.gz,BDMAP_00003747,exact,1.0000
shard08,AMOS,amos_0142.nii.gz,BDMAP_00003594,shape+corr,1.0000
shard08,AMOS,amos_0149.nii.gz,BDMAP_00003949,exact,1.0000
shard08,AMOS,amos_0154.nii.gz,BDMAP_00003712,exact,1.0000
shard08,AMOS,amos_0171.nii.gz,BDMAP_00003819,shape+corr,1.0000
shard08,AMOS,amos_0188.nii.gz,BDMAP_00003791,exact,1.0000
shard08,AMOS,amos_0192.nii.gz,BDMAP_00003503,exact,1.0000
shard08,AMOS,amos_0196.nii.gz,BDMAP_00003845,exact,1.0000
shard08,AMOS,amos_0212.nii.gz,BDMAP_00003625,shape+corr,1.0000
shard08,AMOS,amos_0217.nii.gz,BDMAP_00003967,shape+corr,1.0000
shard08,AMOS,amos_0297.nii.gz,BDMAP_00003908,shape+corr,1.0000
shard08,AMOS,amos_0302.nii.gz,BDMAP_00003519,shape+corr,1.0000
shard08,AMOS,amos_0358.nii.gz,BDMAP_00003574,shape+corr,1.0000
shard08,AMOS,amos_0366.nii.gz,BDMAP_00003799,shape+corr,1.0000
shard08,AMOS,amos_0371.nii.gz,BDMAP_00003731,shape+corr,1.0000
shard08,AMOS,amos_0381.nii.gz,BDMAP_00003834,shape+corr,1.0000
shard08,AMOS,amos_0401.nii.gz,BDMAP_00003582,shape+corr,1.0000
shard08,AMOS,amos_0406.nii.gz,BDMAP_00003988,shape+corr,1.0000
shard08,BTCV,img0002.nii.gz,BDMAP_00003539,exact,1.0000
shard08,BTCV,img0003.nii.gz,BDMAP_00003858,exact,1.0000
shard08,BTCV,img0021.nii.gz,BDMAP_00003906,exact,1.0000
shard08,BTCV,img0026.nii.gz,BDMAP_00003982,exact,1.0000
shard08,BTCV,img0031.nii.gz,BDMAP_00003647,exact,1.0000
shard08,BTCV,img0032.nii.gz,BDMAP_00003702,exact,1.0000
shard08,BTCV,img0039.nii.gz,BDMAP_00003960,exact,1.0000
shard08,FLARE,FLARE22_Tr_0007_0000.nii.gz,BDMAP_00003961,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0009_0000.nii.gz,BDMAP_00003771,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0012_0000.nii.gz,BDMAP_00003900,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0013_0000.nii.gz,BDMAP_00003551,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0015_0000.nii.gz,BDMAP_00003853,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0022_0000.nii.gz,BDMAP_00003884,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0033_0000.nii.gz,BDMAP_00003525,shape+corr,1.0000
shard08,FLARE,FLARE22_Tr_0050_0000.nii.gz,BDMAP_00003631,shape+corr,1.0000
shard09,AMOS,amos_0011.nii.gz,BDMAP_00004008,exact,1.0000
shard09,AMOS,amos_0047.nii.gz,BDMAP_00004333,shape+corr,1.0000
shard09,AMOS,amos_0050.nii.gz,BDMAP_00004266,shape+corr,1.0000
shard09,AMOS,amos_0081.nii.gz,BDMAP_00004055,shape+corr,1.0000
shard09,AMOS,amos_0111.nii.gz,BDMAP_00004099,exact,1.0000
shard09,AMOS,amos_0125.nii.gz,BDMAP_00004344,shape+corr,1.0000
shard09,AMOS,amos_0134.nii.gz,BDMAP_00004330,exact,1.0000
shard09,AMOS,amos_0173.nii.gz,BDMAP_00004484,shape+corr,1.0000
shard09,AMOS,amos_0179.nii.gz,BDMAP_00004168,exact,1.0000
shard09,AMOS,amos_0215.nii.gz,BDMAP_00004463,shape+corr,1.0000
shard09,AMOS,amos_0230.nii.gz,BDMAP_00004151,shape+corr,1.0000
shard09,AMOS,amos_0237.nii.gz,BDMAP_00004153,shape+corr,1.0000
shard09,AMOS,amos_0248.nii.gz,BDMAP_00004176,shape+corr,1.0000
shard09,AMOS,amos_0259.nii.gz,BDMAP_00004189,shape+corr,1.0000
shard09,AMOS,amos_0263.nii.gz,BDMAP_00004440,shape+corr,1.0000
shard09,AMOS,amos_0268.nii.gz,BDMAP_00004362,shape+corr,1.0000
shard09,AMOS,amos_0276.nii.gz,BDMAP_00004351,shape+corr,1.0000
shard09,AMOS,amos_0321.nii.gz,BDMAP_00004258,shape+corr,1.0000
shard09,AMOS,amos_0330.nii.gz,BDMAP_00004110,shape+corr,1.0000
shard09,AMOS,amos_0351.nii.gz,BDMAP_00004068,shape+corr,1.0000
shard09,AMOS,amos_0353.nii.gz,BDMAP_00004388,shape+corr,1.0000
shard09,BTCV,img0004.nii.gz,BDMAP_00004418,exact,1.0000
shard09,BTCV,img0006.nii.gz,BDMAP_00004421,exact,1.0000
shard09,BTCV,img0022.nii.gz,BDMAP_00004069,exact,1.0000
shard09,BTCV,img0035.nii.gz,BDMAP_00004094,exact,1.0000
shard09,FLARE,FLARE22_Tr_0045_0000.nii.gz,BDMAP_00004262,shape+corr,1.0000
shard10,AMOS,amos_0025.nii.gz,BDMAP_00004684,exact,1.0000
shard10,AMOS,amos_0067.nii.gz,BDMAP_00004644,exact,1.0000
shard10,AMOS,amos_0072.nii.gz,BDMAP_00004681,shape+corr,1.0000
shard10,AMOS,amos_0075.nii.gz,BDMAP_00004937,exact,1.0000
shard10,AMOS,amos_0116.nii.gz,BDMAP_00004912,exact,1.0000
shard10,AMOS,amos_0127.nii.gz,BDMAP_00004630,exact,1.0000
shard10,AMOS,amos_0131.nii.gz,BDMAP_00004545,shape+corr,1.0000
shard10,AMOS,amos_0137.nii.gz,BDMAP_00004628,exact,1.0000
shard10,AMOS,amos_0226.nii.gz,BDMAP_00004941,shape+corr,1.0000
shard10,AMOS,amos_0296.nii.gz,BDMAP_00004669,shape+corr,1.0000
shard10,AMOS,amos_0307.nii.gz,BDMAP_00004540,shape+corr,1.0000
shard10,AMOS,amos_0320.nii.gz,BDMAP_00004536,shape+corr,1.0000
shard10,AMOS,amos_0370.nii.gz,BDMAP_00004779,shape+corr,1.0000
shard10,AMOS,amos_0379.nii.gz,BDMAP_00004619,shape+corr,1.0000
shard10,AMOS,amos_0387.nii.gz,BDMAP_00004539,shape+corr,1.0000
shard10,AMOS,amos_0398.nii.gz,BDMAP_00004715,shape+corr,1.0000
shard10,AMOS,amos_0403.nii.gz,BDMAP_00004997,shape+corr,1.0000
shard10,BTCV,img0005.nii.gz,BDMAP_00004840,exact,1.0000
shard10,BTCV,img0010.nii.gz,BDMAP_00004594,exact,1.0000
shard10,BTCV,img0027.nii.gz,BDMAP_00004913,exact,1.0000
shard10,FLARE,FLARE22_Tr_0011_0000.nii.gz,BDMAP_00004880,shape+corr,1.0000
shard10,FLARE,FLARE22_Tr_0020_0000.nii.gz,BDMAP_00004651,shape+corr,1.0000
shard10,FLARE,FLARE22_Tr_0023_0000.nii.gz,BDMAP_00004549,shape+corr,1.0000
shard10,FLARE,FLARE22_Tr_0031_0000.nii.gz,BDMAP_00004954,shape+corr,1.0000
shard10,FLARE,FLARE22_Tr_0042_0000.nii.gz,BDMAP_00004636,shape+corr,1.0000
shard10,FLARE,FLARE22_Tr_0043_0000.nii.gz,BDMAP_00004550,shape+corr,1.0000
