shard,gold_dataset,gold_scan,atlas_bdmap_id,match_type,corr32,evaluation_case_id,evidence_status,source_export
shard01,AMOS,amos_0064.nii.gz,BDMAP_00000342,exact,1.0000,amos_0064,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0376.nii.gz,BDMAP_00000384,shape+corr,1.0000,amos_0376,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0135.nii.gz,BDMAP_00000420,exact,1.0000,amos_0135,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,FLARE,FLARE22_Tr_0017_0000.nii.gz,BDMAP_00000438,shape+corr,1.0000,FLARE22_Tr_0017,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0362.nii.gz,BDMAP_00000443,shape+corr,1.0000,amos_0362,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0390.nii.gz,BDMAP_00000478,shape+corr,1.0000,amos_0390,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0078.nii.gz,BDMAP_00000479,exact,1.0000,amos_0078,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0350.nii.gz,BDMAP_00000484,shape+corr,1.0000,amos_0350,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,AMOS,amos_0058.nii.gz,BDMAP_00000485,shape+corr,1.0000,amos_0058,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard01,BTCV,img0023.nii.gz,BDMAP_00000495,exact,1.0000,btcv_label0023,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0004.nii.gz,BDMAP_00000523,exact,1.0000,amos_0004,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0143.nii.gz,BDMAP_00000531,shape+corr,1.0000,amos_0143,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0097.nii.gz,BDMAP_00000548,exact,1.0000,amos_0097,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0405.nii.gz,BDMAP_00000551,shape+corr,1.0000,amos_0405,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,FLARE,FLARE22_Tr_0049_0000.nii.gz,BDMAP_00000558,shape+corr,1.0000,FLARE22_Tr_0049,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,BTCV,img0037.nii.gz,BDMAP_00000580,exact,1.0000,btcv_label0037,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0181.nii.gz,BDMAP_00000597,exact,1.0000,amos_0181,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,FLARE,FLARE22_Tr_0035_0000.nii.gz,BDMAP_00000618,shape+corr,1.0000,FLARE22_Tr_0035,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0010.nii.gz,BDMAP_00000643,exact,1.0000,amos_0010,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,FLARE,FLARE22_Tr_0036_0000.nii.gz,BDMAP_00000676,shape+corr,1.0000,FLARE22_Tr_0036,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,FLARE,FLARE22_Tr_0005_0000.nii.gz,BDMAP_00000683,shape+corr,1.0000,FLARE22_Tr_0005,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0147.nii.gz,BDMAP_00000694,exact,1.0000,amos_0147,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,FLARE,FLARE22_Tr_0048_0000.nii.gz,BDMAP_00000696,shape+corr,1.0000,FLARE22_Tr_0048,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0166.nii.gz,BDMAP_00000700,exact,1.0000,amos_0166,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0279.nii.gz,BDMAP_00000729,shape+corr,1.0000,amos_0279,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0361.nii.gz,BDMAP_00000752,shape+corr,1.0000,amos_0361,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0239.nii.gz,BDMAP_00000766,shape+corr,1.0000,amos_0239,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0083.nii.gz,BDMAP_00000802,exact,1.0000,amos_0083,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,BTCV,img0028.nii.gz,BDMAP_00000821,exact,1.0000,btcv_label0028,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0410.nii.gz,BDMAP_00000822,shape+corr,1.0000,amos_0410,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0133.nii.gz,BDMAP_00000845,shape+corr,1.0000,amos_0133,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0391.nii.gz,BDMAP_00000865,shape+corr,1.0000,amos_0391,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0014.nii.gz,BDMAP_00000960,exact,1.0000,amos_0014,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard02,AMOS,amos_0077.nii.gz,BDMAP_00000975,shape+corr,1.0000,amos_0077,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard02,FLARE,FLARE22_Tr_0046_0000.nii.gz,BDMAP_00000993,shape+corr,1.0000,FLARE22_Tr_0046,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0001.nii.gz,BDMAP_00001036,shape+corr,1.0000,amos_0001,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0199.nii.gz,BDMAP_00001053,corr-only,0.9985,amos_0199,correlation_only_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0317.nii.gz,BDMAP_00001070,shape+corr,1.0000,amos_0317,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,BTCV,img0030.nii.gz,BDMAP_00001074,exact,1.0000,btcv_label0030,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0282.nii.gz,BDMAP_00001100,shape+corr,1.0000,amos_0282,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0336.nii.gz,BDMAP_00001151,shape+corr,1.0000,amos_0336,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0118.nii.gz,BDMAP_00001181,exact,1.0000,amos_0118,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0069.nii.gz,BDMAP_00001196,exact,1.0000,amos_0069,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0198.nii.gz,BDMAP_00001217,exact,1.0000,amos_0198,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0027.nii.gz,BDMAP_00001231,exact,1.0000,amos_0027,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0049.nii.gz,BDMAP_00001253,shape+corr,1.0000,amos_0049,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0019.nii.gz,BDMAP_00001260,exact,1.0000,amos_0019,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0294.nii.gz,BDMAP_00001285,shape+corr,1.0000,amos_0294,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,FLARE,FLARE22_Tr_0034_0000.nii.gz,BDMAP_00001288,shape+corr,1.0000,FLARE22_Tr_0034,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0161.nii.gz,BDMAP_00001365,exact,1.0000,amos_0161,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0141.nii.gz,BDMAP_00001400,exact,1.0000,amos_0141,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,BTCV,img0025.nii.gz,BDMAP_00001417,exact,1.0000,btcv_label0025,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,FLARE,FLARE22_Tr_0047_0000.nii.gz,BDMAP_00001441,shape+corr,1.0000,FLARE22_Tr_0047,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0392.nii.gz,BDMAP_00001442,shape+corr,1.0000,amos_0392,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,BTCV,img0036.nii.gz,BDMAP_00001447,exact,1.0000,btcv_label0036,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard03,AMOS,amos_0079.nii.gz,BDMAP_00001449,shape+corr,1.0000,amos_0079,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard03,FLARE,FLARE22_Tr_0037_0000.nii.gz,BDMAP_00001464,shape+corr,1.0000,FLARE22_Tr_0037,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0036.nii.gz,BDMAP_00001556,exact,1.0000,amos_0036,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0023.nii.gz,BDMAP_00001561,exact,1.0000,amos_0023,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,FLARE,FLARE22_Tr_0002_0000.nii.gz,BDMAP_00001584,shape+corr,1.0000,FLARE22_Tr_0002,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,FLARE,FLARE22_Tr_0027_0000.nii.gz,BDMAP_00001597,shape+corr,1.0000,FLARE22_Tr_0027,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,FLARE,FLARE22_Tr_0024_0000.nii.gz,BDMAP_00001618,shape+corr,1.0000,FLARE22_Tr_0024,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0009.nii.gz,BDMAP_00001627,exact,1.0000,amos_0009,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,FLARE,FLARE22_Tr_0008_0000.nii.gz,BDMAP_00001628,shape+corr,1.0000,FLARE22_Tr_0008,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0153.nii.gz,BDMAP_00001640,exact,1.0000,amos_0153,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,FLARE,FLARE22_Tr_0025_0000.nii.gz,BDMAP_00001649,shape+corr,1.0000,FLARE22_Tr_0025,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0089.nii.gz,BDMAP_00001655,exact,1.0000,amos_0089,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0109.nii.gz,BDMAP_00001700,shape+corr,1.0000,amos_0109,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0193.nii.gz,BDMAP_00001740,exact,1.0000,amos_0193,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0272.nii.gz,BDMAP_00001759,shape+corr,1.0000,amos_0272,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0374.nii.gz,BDMAP_00001764,shape+corr,1.0000,amos_0374,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0017.nii.gz,BDMAP_00001771,exact,1.0000,amos_0017,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0249.nii.gz,BDMAP_00001775,shape+corr,1.0000,amos_0249,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0054.nii.gz,BDMAP_00001855,shape+corr,1.0000,amos_0054,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0105.nii.gz,BDMAP_00001886,shape+corr,1.0000,amos_0105,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0235.nii.gz,BDMAP_00001901,shape+corr,1.0000,amos_0235,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0021.nii.gz,BDMAP_00001931,exact,1.0000,amos_0021,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0138.nii.gz,BDMAP_00001967,exact,1.0000,amos_0138,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0006.nii.gz,BDMAP_00001971,exact,1.0000,amos_0006,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard04,AMOS,amos_0088.nii.gz,BDMAP_00001989,exact,1.0000,amos_0088,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0084.nii.gz,BDMAP_00002009,exact,1.0000,amos_0084,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0071.nii.gz,BDMAP_00002014,exact,1.0000,amos_0071,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,BTCV,img0007.nii.gz,BDMAP_00002019,exact,1.0000,btcv_label0007,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0264.nii.gz,BDMAP_00002023,shape+corr,1.0000,amos_0264,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0060.nii.gz,BDMAP_00002046,shape+corr,1.0000,amos_0060,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0104.nii.gz,BDMAP_00002061,exact,1.0000,amos_0104,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0195.nii.gz,BDMAP_00002077,exact,1.0000,amos_0195,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0400.nii.gz,BDMAP_00002098,shape+corr,1.0000,amos_0400,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,BTCV,img0001.nii.gz,BDMAP_00002109,exact,1.0000,btcv_label0001,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0383.nii.gz,BDMAP_00002110,shape+corr,1.0000,amos_0383,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0066.nii.gz,BDMAP_00002135,exact,1.0000,amos_0066,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0016.nii.gz,BDMAP_00002162,exact,1.0000,amos_0016,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,FLARE,FLARE22_Tr_0016_0000.nii.gz,BDMAP_00002171,shape+corr,1.0000,FLARE22_Tr_0016,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0225.nii.gz,BDMAP_00002194,shape+corr,1.0000,amos_0225,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0177.nii.gz,BDMAP_00002207,exact,1.0000,amos_0177,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,FLARE,FLARE22_Tr_0026_0000.nii.gz,BDMAP_00002216,shape+corr,1.0000,FLARE22_Tr_0026,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0086.nii.gz,BDMAP_00002217,exact,1.0000,amos_0086,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,FLARE,FLARE22_Tr_0028_0000.nii.gz,BDMAP_00002227,shape+corr,1.0000,FLARE22_Tr_0028,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0224.nii.gz,BDMAP_00002234,shape+corr,1.0000,amos_0224,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,FLARE,FLARE22_Tr_0018_0000.nii.gz,BDMAP_00002298,shape+corr,1.0000,FLARE22_Tr_0018,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0099.nii.gz,BDMAP_00002357,shape+corr,1.0000,amos_0099,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0281.nii.gz,BDMAP_00002365,shape+corr,1.0000,amos_0281,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,BTCV,img0008.nii.gz,BDMAP_00002367,exact,1.0000,btcv_label0008,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0045.nii.gz,BDMAP_00002372,shape+corr,1.0000,amos_0045,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0175.nii.gz,BDMAP_00002380,exact,1.0000,amos_0175,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0337.nii.gz,BDMAP_00002448,shape+corr,1.0000,amos_0337,shape_and_correlation_candidate,atlas_overlap_shards01_05.csv
shard05,AMOS,amos_0129.nii.gz,BDMAP_00002467,exact,1.0000,amos_0129,standardized_image_hash_match,atlas_overlap_shards01_05.csv
shard06,AMOS,amos_0185.nii.gz,BDMAP_00002536,exact,1.0000,amos_0185,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0299.nii.gz,BDMAP_00002544,shape+corr,1.0000,amos_0299,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0408.nii.gz,BDMAP_00002554,shape+corr,1.0000,amos_0408,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0341.nii.gz,BDMAP_00002561,shape+corr,1.0000,amos_0341,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,BTCV,img0033.nii.gz,BDMAP_00002639,exact,1.0000,btcv_label0033,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0402.nii.gz,BDMAP_00002660,shape+corr,1.0000,amos_0402,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,FLARE,FLARE22_Tr_0032_0000.nii.gz,BDMAP_00002688,shape+corr,1.0000,FLARE22_Tr_0032,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0186.nii.gz,BDMAP_00002734,shape+corr,1.0000,amos_0186,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0052.nii.gz,BDMAP_00002825,shape+corr,1.0000,amos_0052,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,FLARE,FLARE22_Tr_0040_0000.nii.gz,BDMAP_00002829,shape+corr,1.0000,FLARE22_Tr_0040,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0378.nii.gz,BDMAP_00002859,shape+corr,1.0000,amos_0378,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,FLARE,FLARE22_Tr_0029_0000.nii.gz,BDMAP_00002896,shape+corr,1.0000,FLARE22_Tr_0029,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0349.nii.gz,BDMAP_00002937,shape+corr,1.0000,amos_0349,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0048.nii.gz,BDMAP_00002946,shape+corr,1.0000,amos_0048,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard06,AMOS,amos_0162.nii.gz,BDMAP_00002976,exact,1.0000,amos_0162,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0098.nii.gz,BDMAP_00003006,exact,1.0000,amos_0098,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0024.nii.gz,BDMAP_00003041,exact,1.0000,amos_0024,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0113.nii.gz,BDMAP_00003045,shape+corr,1.0000,amos_0113,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0126.nii.gz,BDMAP_00003072,exact,1.0000,amos_0126,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0035.nii.gz,BDMAP_00003112,exact,1.0000,amos_0035,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,FLARE,FLARE22_Tr_0003_0000.nii.gz,BDMAP_00003114,shape+corr,1.0000,FLARE22_Tr_0003,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0190.nii.gz,BDMAP_00003127,exact,1.0000,amos_0190,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0007.nii.gz,BDMAP_00003139,shape+corr,1.0000,amos_0007,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0384.nii.gz,BDMAP_00003147,shape+corr,1.0000,amos_0384,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0005.nii.gz,BDMAP_00003182,shape+corr,1.0000,amos_0005,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0380.nii.gz,BDMAP_00003217,shape+corr,1.0000,amos_0380,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,BTCV,img0029.nii.gz,BDMAP_00003222,exact,1.0000,btcv_label0029,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0367.nii.gz,BDMAP_00003227,shape+corr,1.0000,amos_0367,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0301.nii.gz,BDMAP_00003242,shape+corr,1.0000,amos_0301,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0254.nii.gz,BDMAP_00003246,shape+corr,1.0000,amos_0254,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0042.nii.gz,BDMAP_00003264,exact,1.0000,amos_0042,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0396.nii.gz,BDMAP_00003273,shape+corr,1.0000,amos_0396,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,FLARE,FLARE22_Tr_0010_0000.nii.gz,BDMAP_00003277,shape+corr,1.0000,FLARE22_Tr_0010,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0388.nii.gz,BDMAP_00003280,shape+corr,1.0000,amos_0388,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0274.nii.gz,BDMAP_00003285,shape+corr,1.0000,amos_0274,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0121.nii.gz,BDMAP_00003291,exact,1.0000,amos_0121,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0057.nii.gz,BDMAP_00003293,shape+corr,1.0000,amos_0057,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0110.nii.gz,BDMAP_00003297,exact,1.0000,amos_0110,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0092.nii.gz,BDMAP_00003303,exact,1.0000,amos_0092,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0273.nii.gz,BDMAP_00003317,shape+corr,1.0000,amos_0273,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,FLARE,FLARE22_Tr_0001_0000.nii.gz,BDMAP_00003319,shape+corr,1.0000,FLARE22_Tr_0001,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,FLARE,FLARE22_Tr_0019_0000.nii.gz,BDMAP_00003329,shape+corr,1.0000,FLARE22_Tr_0019,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0245.nii.gz,BDMAP_00003340,shape+corr,1.0000,amos_0245,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,AMOS,amos_0180.nii.gz,BDMAP_00003351,shape+corr,1.0000,amos_0180,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,FLARE,FLARE22_Tr_0004_0000.nii.gz,BDMAP_00003367,shape+corr,1.0000,FLARE22_Tr_0004,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
shard07,BTCV,img0038.nii.gz,BDMAP_00003372,exact,1.0000,btcv_label0038,standardized_image_hash_match,atlas_overlap_export_up_to_shard13.csv
shard07,FLARE,FLARE22_Tr_0041_0000.nii.gz,BDMAP_00003385,shape+corr,1.0000,FLARE22_Tr_0041,shape_and_correlation_candidate,atlas_overlap_export_up_to_shard13.csv
